1|2.54|14:44|21
2|6.69|14:44|22
3|2.45|14:44|24
4|7.75|14:45|20
5|2.54|14:44|21
6|6.69|14:44|19
7|2.45|14:44|20
8|7.75|14:45|21
9|2.54|14:44|21
10|6.69|14:44|22
11|2.45|14:44|24
12|7.75|14:45|20
13|2.54|14:44|21
14|6.69|14:44|19
15|2.45|14:44|20
16|7.75|14:45|21
17|6.69|14:44|22
18|2.45|14:44|24
19|7.75|14:45|20
20|2.54|14:44|21
21|6.69|14:44|19
22|2.45|14:44|20
23|7.75|14:45|21
24|2.54|14:44|21
25|6.69|14:44|19
26|2.45|14:44|20
27|7.75|14:45|21
28|2.54|14:44|21
29|6.69|14:44|19
30|2.45|14:44|20
31|6.69|14:44|19
32|2.45|14:44|20
33|7.75|14:45|21
34|2.54|14:44|21
35|6.69|14:44|19
36|2.45|14:44|20
37|7.75|14:45|21
38|2.54|14:44|21
39|6.69|14:44|19
40|2.45|14:44|20
41|6.69|14:44|19
42|2.45|14:44|20
43|7.75|14:45|21
44|2.54|14:44|21
45|6.69|14:44|19
46|2.45|14:44|20
47|7.75|14:45|21
48|2.54|14:44|21
49|6.69|14:44|19
50|2.45|14:44|20
